CRVUSDT,HFTUSDT
"[1672502400000, '0.527', '0.529', '0.527', '0.529', '524648.5', 1672503299999, '277172.4523', 711, '320062.5', '169152.6538', '0']","[1680782400000, '0.6662000', '0.6662000', '0.6268000', '0.6459000', '1055870', 1680783299999, '686420.5276000', 5093, '428160', '278617.0359000', '0']"
"[1672503300000, '0.529', '0.530', '0.528', '0.529', '681706.2', 1672504199999, '360621.4160', 675, '416249.6', '220247.4028', '0']","[1680783300000, '0.6455000', '0.6491000', '0.6394000', '0.6408000', '510750', 1680784199999, '328969.0028000', 2407, '221795', '143002.1109000', '0']"
"[1672504200000, '0.528', '0.530', '0.527', '0.529', '779496.6', 1672505099999, '411753.1984', 742, '335715.9', '177392.2228', '0']","[1680784200000, '0.6414000', '0.6432000', '0.6370000', '0.6372000', '222283', 1680785099999, '142225.1097000', 1000, '101990', '65302.1155000', '0']"
"[1672505100000, '0.529', '0.530', '0.528', '0.529', '461461.1', 1672505999999, '244360.6469', 576, '161396.8', '85534.6756', '0']","[1680785100000, '0.6376000', '0.6505000', '0.6307000', '0.6375000', '1076500', 1680785999999, '689213.1172000', 4180, '548440', '351721.5492000', '0']"
"[1672506000000, '0.528', '0.529', '0.526', '0.526', '953825.0', 1672506899999, '502928.0717', 1163, '329651.5', '173836.7001', '0']","[1680786000000, '0.6376000', '0.6506000', '0.6360000', '0.6406000', '1448003', 1680786899999, '931539.8108000', 4458, '710067', '458398.6183000', '0']"
"[1672506900000, '0.526', '0.528', '0.526', '0.526', '1316788.9', 1672507799999, '693690.0275', 955, '648921.2', '342024.3453', '0']","[1680786900000, '0.6402000', '0.6450000', '0.6390000', '0.6392000', '288855', 1680787799999, '185526.6718000', 944, '143623', '92297.8829000', '0']"
"[1672507800000, '0.526', '0.528', '0.526', '0.527', '702011.3', 1672508699999, '369892.2931', 694, '402720.6', '212262.4823', '0']","[1680787800000, '0.6392000', '0.6416000', '0.6332000', '0.6352000', '236664', 1680788699999, '150864.1994000', 715, '125223', '79899.5748000', '0']"
"[1672508700000, '0.527', '0.527', '0.525', '0.526', '397129.6', 1672509599999, '208741.8254', 481, '56476.0', '29751.3545', '0']","[1680788700000, '0.6354000', '0.6392000', '0.6331000', '0.6392000', '161144', 1680789599999, '102514.5381000', 714, '102338', '65156.3643000', '0']"
"[1672509600000, '0.525', '0.526', '0.524', '0.524', '466656.5', 1672510499999, '245031.0023', 598, '105778.6', '55609.5472', '0']","[1680789600000, '0.6392000', '0.6433000', '0.6368000', '0.6403000', '258883', 1680790499999, '165606.2410000', 1508, '116862', '74824.6238000', '0']"
"[1672510500000, '0.524', '0.525', '0.524', '0.525', '260598.4', 1672511399999, '136761.1054', 438, '207543.8', '108960.4950', '0']","[1680790500000, '0.6401000', '0.6408000', '0.6325000', '0.6348000', '300590', 1680791399999, '191114.0640000', 1187, '114112', '72567.5991000', '0']"
"[1672511400000, '0.524', '0.525', '0.521', '0.523', '2328736.4', 1672512299999, '1217533.9972', 1813, '932256.1', '487667.6396', '0']","[1680791400000, '0.6349000', '0.6365000', '0.6310000', '0.6316000', '110792', 1680792299999, '70173.9735000', 631, '47773', '30287.5945000', '0']"
"[1672512300000, '0.524', '0.524', '0.522', '0.523', '331702.0', 1672513199999, '173513.3458', 400, '63750.0', '33377.3809', '0']","[1680792300000, '0.6315000', '0.6346000', '0.6314000', '0.6336000', '105025', 1680793199999, '66496.7098000', 949, '67082', '42466.0999000', '0']"
"[1672513200000, '0.522', '0.526', '0.522', '0.525', '898299.7', 1672514099999, '470547.3101', 991, '743582.6', '389581.2547', '0']","[1680793200000, '0.6336000', '0.6439000', '0.6331000', '0.6426000', '324794', 1680794099999, '207646.2347000', 1284, '181013', '115731.9017000', '0']"
"[1672514100000, '0.526', '0.526', '0.524', '0.525', '390618.1', 1672514999999, '205042.7292', 311, '96260.6', '50561.0010', '0']","[1680794100000, '0.6427000', '0.6448000', '0.6393000', '0.6424000', '234423', 1680794999999, '150619.5077000', 1311, '80924', '51999.1682000', '0']"
"[1672515000000, '0.525', '0.526', '0.524', '0.525', '532908.1', 1672515899999, '279752.0618', 560, '273568.4', '143646.7233', '0']","[1680795000000, '0.6422000', '0.6441000', '0.6399000', '0.6423000', '108094', 1680795899999, '69344.6587000', 574, '51889', '33313.2763000', '0']"
"[1672515900000, '0.525', '0.527', '0.524', '0.526', '713850.0', 1672516799999, '375302.5160', 815, '398384.8', '209411.5681', '0']","[1680795900000, '0.6422000', '0.6489000', '0.6418000', '0.6468000', '282372', 1680796799999, '182530.7535000', 1086, '191792', '123991.9161000', '0']"
"[1672516800000, '0.525', '0.526', '0.525', '0.526', '107638.9', 1672517699999, '56582.4361', 304, '72013.6', '37879.1536', '0']","[1680796800000, '0.6468000', '0.6472000', '0.6400000', '0.6430000', '356092', 1680797699999, '229048.9339000', 1782, '155153', '99823.4342000', '0']"
"[1672517700000, '0.526', '0.526', '0.525', '0.526', '152655.1', 1672518599999, '80261.8391', 272, '117911.6', '62021.5016', '0']","[1680797700000, '0.6429000', '0.6580000', '0.6429000', '0.6554000', '575924', 1680798599999, '375399.4951000', 2862, '333260', '217150.4317000', '0']"
"[1672518600000, '0.525', '0.528', '0.525', '0.527', '325543.1', 1672519499999, '171466.6758', 547, '293709.1', '154710.6076', '0']","[1680798600000, '0.6554000', '0.6568000', '0.6468000', '0.6490000', '351910', 1680799499999, '229055.1591000', 1566, '128574', '83726.4769000', '0']"
"[1672519500000, '0.528', '0.529', '0.526', '0.527', '2350473.6', 1672520399999, '1240095.9947', 1541, '1168159.4', '616430.1505', '0']","[1680799500000, '0.6491000', '0.6555000', '0.6485000', '0.6516000', '323147', 1680800399999, '210974.8907000', 1857, '188601', '123142.8293000', '0']"
